,County,Deaths,MME,State,Year,County Code,Population,MME_Per_Capita,Deaths_Per_100000
0,ALACHUA,0,82596.6186877293,FL,2006,12001,234444,0.35230852010599245,0.0
1,ALACHUA,17,95259.62797679313,FL,2007,12001,237321,0.4013956960268713,7.163293598122374
2,ALACHUA,0,114675.22192176848,FL,2008,12001,240199,0.47741756594227486,0.0
3,ALACHUA,15,141281.0481854313,FL,2009,12001,243076,0.5812217091997207,6.170909509782949
4,ALACHUA,15,150910.7858758919,FL,2010,12001,247613,0.6094622894431709,6.057840258790936
5,ALACHUA,14,145750.68089929313,FL,2011,12001,249806,0.5834554850535741,5.604348974804449
6,ALACHUA,14,127727.613021565,FL,2012,12001,251513,0.5078370224265346,5.566312675686744
7,BAKER,0,11900.178637500152,FL,2006,12003,26022,0.457312221869962,0.0
8,BAKER,0,13793.788183225111,FL,2007,12003,26201,0.5264603711012981,0.0
9,BAKER,0,15651.322154225169,FL,2008,12003,26379,0.5933250750303335,0.0
10,BAKER,0,19165.96729500018,FL,2009,12003,26558,0.7216645566307772,0.0
11,BAKER,0,29821.453215000118,FL,2010,12003,27062,1.1019678225925695,0.0
12,BAKER,0,32777.553120000026,FL,2011,12003,27043,1.2120531420330594,0.0
13,BAKER,0,21659.46165000021,FL,2012,12003,27047,0.8008082837283325,0.0
14,BAY,0,61998.102472078564,FL,2006,12005,159115,0.38964335525926885,0.0
15,BAY,0,61255.85799926616,FL,2007,12005,161413,0.3794976736648607,0.0
16,BAY,0,65665.01292126594,FL,2008,12005,163711,0.40110324242882844,0.0
17,BAY,0,68131.16719294015,FL,2009,12005,166009,0.4104064670767257,0.0
18,BAY,0,73912.3022531658,FL,2010,12005,169205,0.4368210292436146,0.0
19,BAY,0,73505.84484769049,FL,2011,12005,169541,0.43355792904188656,0.0
20,BAY,0,73272.65335132717,FL,2012,12005,171749,0.4266263754160267,0.0
21,BRADFORD,0,13424.830894900231,FL,2006,12007,28341,0.47368938622138357,0.0
22,BRADFORD,0,15854.865475125225,FL,2007,12007,28211,0.5620100483898205,0.0
23,BRADFORD,0,17501.063683500106,FL,2008,12007,28081,0.6232350587051781,0.0
24,BRADFORD,0,21250.949666812667,FL,2009,12007,27951,0.7602930008519433,0.0
25,BRADFORD,0,26551.078983862728,FL,2010,12007,28536,0.9304415119099638,0.0
26,BRADFORD,0,21271.09919250028,FL,2011,12007,28432,0.7481393919703251,0.0
27,BRADFORD,0,16872.471022500224,FL,2012,12007,27049,0.6237742993271553,0.0
28,BREVARD,98,201186.1534030964,FL,2006,12009,507319,0.39656735388009595,19.31723432396579
29,BREVARD,86,246505.6839382635,FL,2007,12009,514316,0.47928838289740844,16.721237527123403
30,BREVARD,121,317947.5992638272,FL,2008,12009,521312,0.6098988691298631,23.210668467251857
31,BREVARD,135,365366.2497193953,FL,2009,12009,528308,0.6915781129935479,25.55327574066643
32,BREVARD,135,508840.976494513,FL,2010,12009,543972,0.9354175885790316,24.81745383953586
33,BREVARD,123,481720.14990380843,FL,2011,12009,544319,0.8849960223762324,22.597043277930773
34,BREVARD,113,363107.37734239077,FL,2012,12009,546978,0.6638427456723868,20.65896617414229
35,BROWARD,249,1222607.3896553786,FL,2006,12011,1662127,0.7355679738403736,14.980804715885128
36,BROWARD,226,1720337.481720641,FL,2007,12011,1686821,1.019869613741257,13.397983544193487
37,BROWARD,313,2180537.4886382525,FL,2008,12011,1711514,1.2740401122271,18.287901822596837
38,BROWARD,305,2584508.114014747,FL,2009,12011,1736208,1.4885935982409637,17.567019619769063
39,BROWARD,262,3026736.844583195,FL,2010,12011,1752834,1.7267675345087985,14.947222612067087
40,BROWARD,233,1492503.447654777,FL,2011,12011,1786955,0.8352216187059982,13.038940544109952
41,BROWARD,228,809178.9096921141,FL,2012,12011,1814489,0.44595415551822803,12.565521201836992
42,CALHOUN,0,1851.9058230000119,FL,2006,12013,14788,0.12523030991344414,0.0
43,CALHOUN,0,2021.5322535000096,FL,2007,12013,14756,0.13699730641772903,0.0
44,CALHOUN,0,2225.1565500000133,FL,2008,12013,14725,0.15111419694397374,0.0
45,CALHOUN,0,2580.2354700000133,FL,2009,12013,14693,0.17560984618525918,0.0
46,CALHOUN,0,2722.435965000015,FL,2010,12013,14646,0.1858825594018855,0.0
47,CALHOUN,0,2810.6887313625152,FL,2011,12013,14715,0.19100840851936904,0.0
48,CALHOUN,0,2793.381480000016,FL,2012,12013,14663,0.19050545454545564,0.0
49,CHARLOTTE,0,82123.59715794155,FL,2006,12015,143111,0.5738454567289835,0.0
50,CHARLOTTE,0,103366.66686720557,FL,2007,12015,146499,0.7055793341060729,0.0
51,CHARLOTTE,0,142308.39840053048,FL,2008,12015,149887,0.9494378992209497,0.0
52,CHARLOTTE,0,191565.34862749267,FL,2009,12015,153275,1.2498147031641995,0.0
53,CHARLOTTE,0,230654.24658953075,FL,2010,12015,159867,1.4427883590079926,0.0
54,CHARLOTTE,1,207165.206288144,FL,2011,12015,159851,1.295989429457082,0.625582573771825
55,CHARLOTTE,0,120917.42719837994,FL,2012,12015,162749,0.7429687875094774,0.0
56,CITRUS,23,49646.89102934089,FL,2006,12017,134512,0.3690889365212092,17.098846199595574
57,CITRUS,17,58420.509573116375,FL,2007,12017,135397,0.43147565731232135,12.555669623403768
58,CITRUS,25,71761.41768466689,FL,2008,12017,136283,0.5265617698808134,18.344180858947922
